code;distcap
ABW;7685,884
AFG;5590,381
AGO;6510,322
AIA;6710,57
ALB;1603,534
AND;711,5485
ANT;7638,026
ARE;5249,535
ARG;11072,25
ARM;3434,071
ATG;6708,77
AUS;16938,09
AUT;1035,144
AZE;3817,547
BDI;6371,986
BEL;262,3845
BEN;4715,566
BFA;4082,87
BGD;7916,79
BGR;1760,707
BHR;4843,391
BHS;7209,45
BIH;1352,463
BLR;1823,709
BLZ;8664,439
BMU;5764,324
BOL;10075,46
BRA;8732,79
BRB;6882,34
BRN;11219,33
BTN;7569,353
BWA;8522,764
CAF;5186,042
CAN;5653,213
CCK;11388,36
CHE;436,0778
CHL;11663,39
CHN;8225,232
CIV;4734,325
CMR;5085,718
COG;6041,018
COK;16568,87
COL;8707,677
COM;7842,67
CPV;4452,386
CRI;8919,449
CUB;7729,485
CXR;11866,1
CYM;7960,709
CYP;2954,551
CZE;884,6105
DEU;880,187
DJI;5595,459
DMA;6826,396
DNK;1027,609
DOM;7178,52
DZA;1340,39
ECU;9367,098
EGY;3215,215
ERI;4993,154
ESH;2759,848
ESP;1054,656
EST;1859,091
ETH;5582,502
FIN;1911,138
FJI;16595,08
FLK;12560,39
FRA;278,1876
FRO;1568,769
FSM;13396,33
GAB;5438,787
GBR;342,9475
GEO;3373,349
GHA;4827,292
GIB;1549,175
GIN;4691,556
GLP;6794,139
GMB;4308,25
GNB;4440,633
GNQ;5058,926
GRC;2098,726
GRD;7120,287
GRL;3584,681
GTM;9001,048
GUF;7084,598
GUY;7320,075
HKG;9639,476
HND;8810,234
HRV;1081,762
HTI;7361,197
HUN;1247,24
IDN;11584,25
IND;6594,23
IRL;778,2031
IRN;4218,442
IRQ;3867,434
ISL;2234,723
ISR;3281,899
ITA;1109,901
JAM;7734,696
JOR;3371,398
JPN;9725,629
KAZ;4764,565
KEN;6491,402
KGZ;5424,702
KHM;9947,79
KIR;14371,47
KNA;6760,687
KOR;8981,467
KWT;4415,222
LAO;9245,57
LBN;3197,032
LBR;4892,298
LBY;2007,716
LCA;6903,772
LKA;8526,015
LSO;9054,14
LTU;1700,296
LUX;289,1023
LVA;1704,598
MAC;9601,923
MAR;1816,853
MDA;1976,854
MDG;8763,332
MDV;8294,178
MEX;9206,813
MHL;13705,24
MKD;1672,04
MLI;4139,756
MLT;1752,693
MMR;8892,726
MNG;7053,423
MNP;12042,09
MOZ;8855,655
MRT;3794,96
MSR;6771,885
MTQ;6862,589
MUS;9422,744
MWI;7650,657
MYS;10436,4
NAM;8084,97
NCL;16757,74
NER;3932,638
NFK;17511,67
NGA;4440,135
NIC;8906,699
NIU;16639,5
NLD;427,9169
NOR;1342,89
NPL;7244,016
NRU;14455,09
NZL;19263,88
OMN;5620,005
PAK;5932,586
PAL;3303,196
PAN;8671,104
PCN;15152,12
PER;10268,11
PHL;10751,64
PLW;12240,69
PNG;14565,84
POL;1368,178
PRI;6916,064
PRK;8783,568
PRT;1452,86
PRY;10168,73
PYF;15724,43
QAT;4981,916
REU;9374,991
ROM;1875,018
RUS;2494,316
RWA;6253,41
SAU;4694,5
SDN;4612,387
SEN;4217,159
SGP;10748,26
SHN;7254,018
SLB;15178,2
SLE;4724,351
SLV;8984,298
SMR;951,0759
SOM;6623,439
SPM;4273,723
STP;5432,882
SUR;7196,987
SVK;1094,61
SVN;965,7366
SWE;1545,797
SWZ;8846,426
SYC;7855,244
SYR;3280,692
TCA;7041,488
TCD;4248,435
TGO;4753,381
THA;9454,805
TJK;5291,823
TKL;15565,23
TKM;4581,08
TMP;13128,84
TON;16941,44
TTO;7225,325
TUN;1483,828
TUR;2600,656
TUV;15531,51
TWN;9834,232
TZA;6932,8
UGA;6128,938
UKR;2025,144
URY;10972,42
USA;6169,154
UZB;5153,064
VCT;6989,701
VEN;7618,86
VGB;6804,749
VNM;9208,554
VUT;16346,35
WLF;16073,01
WSM;16011,92
YEM;5317,261
YUG;1449,718
ZAF;8692,812
ZAR;6049,656
ZMB;7604,841
ZWE;7949,676
